IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MADINA,KOBIETA,261
ADI,KOBIETA,260
DZIYANA,KOBIETA,260
KARMEN,KOBIETA,260
CORNELIA,KOBIETA,259
NASTASSIA,KOBIETA,258
HILDA,KOBIETA,257
KATIA,KOBIETA,257
MIKA,KOBIETA,257
ALESSIA,KOBIETA,255
ALOJZA,KOBIETA,254
LILLI,KOBIETA,254
PETRA,KOBIETA,254
WŁODZIMIERA,KOBIETA,253
ERWINA,KOBIETA,252
AMIRA,KOBIETA,251
ASTRID,KOBIETA,250
NINO,KOBIETA,247
AISHA,KOBIETA,246
LUDMILA,KOBIETA,246
MALIKA,KOBIETA,246
URSULA,KOBIETA,246
INESA,KOBIETA,244
FABIOLA,KOBIETA,239
ROSA,KOBIETA,238
TADEUSZA,KOBIETA,238
KRYSTIANA,KOBIETA,237
LIDIYA,KOBIETA,237
HELEN,KOBIETA,236
NASTIA,KOBIETA,236
KATARINA,KOBIETA,235
SUSAN,KOBIETA,235
GUSTAWA,KOBIETA,234
YELIZAVETA,KOBIETA,234
DIONIZA,KOBIETA,232
DOLORES,KOBIETA,232
HERTA,KOBIETA,231
SYNTIA,KOBIETA,231
CAMILA,KOBIETA,230
REBECCA,KOBIETA,230
IZYDORA,KOBIETA,229
CHANTAL,KOBIETA,228
KATRIN,KOBIETA,228
ROSE,KOBIETA,225
BOGDA,KOBIETA,224
CYNTHIA,KOBIETA,223
RENA,KOBIETA,223
AUGUSTA,KOBIETA,222
ESTHER,KOBIETA,222
WALBURGA,KOBIETA,222
ADOLFA,KOBIETA,221
YULIANA,KOBIETA,221
ELIZAVETA,KOBIETA,220
WINCENTA,KOBIETA,220
ZBIGNIEWA,KOBIETA,220
SOFIE,KOBIETA,219
LYDIA,KOBIETA,218
MARYAM,KOBIETA,218
VLADA,KOBIETA,217
ANAT,KOBIETA,216
GRACE,KOBIETA,216
FATMA,KOBIETA,215
LEAH,KOBIETA,215
ORYSIA,KOBIETA,215
RUT,KOBIETA,215
PAULINE,KOBIETA,213
WALESKA,KOBIETA,212
MARGARYTA,KOBIETA,211
ROBERTA,KOBIETA,211
AGATHA,KOBIETA,210
YVONNE,KOBIETA,209
ADOLFINA,KOBIETA,208
NADJA,KOBIETA,208
TAL,KOBIETA,208
JAGIENKA,KOBIETA,207
GABRIELLE,KOBIETA,206
MARGOTA,KOBIETA,205
FELICYTA,KOBIETA,204
KAMELIA,KOBIETA,204
PATRIZIA,KOBIETA,204
KIARA,KOBIETA,202
YAUHENIYA,KOBIETA,202
MARYANA,KOBIETA,200
NATALIJA,KOBIETA,200
ZOSIA,KOBIETA,200
REBEKA,KOBIETA,199
NADIJA,KOBIETA,198
VIRGINIA,KOBIETA,198
VIVIANA,KOBIETA,198
LUBOMIŁA,KOBIETA,197
SUZANNE,KOBIETA,197
KORYNA,KOBIETA,196
ZARA,KOBIETA,196
NOELIA,KOBIETA,195
TEREZA,KOBIETA,195
ELIF,KOBIETA,194
BLANCA,KOBIETA,193
ELMIRA,KOBIETA,193
IEVGENIIA,KOBIETA,192
LUCJANA,KOBIETA,192
MILLA,KOBIETA,192
DEBORAH,KOBIETA,191
SALMA,KOBIETA,191
NADIEŻDA,KOBIETA,190
SHIRA,KOBIETA,190
EDITH,KOBIETA,189
FRYDA,KOBIETA,188
KARLA,KOBIETA,188
KRYSPINA,KOBIETA,188
RAFAELA,KOBIETA,188
SUZANNA,KOBIETA,188
SUSANA,KOBIETA,187
KAMILIA,KOBIETA,185
LUDGARDA,KOBIETA,185
RONI,KOBIETA,185
SIMONE,KOBIETA,185
ECATERINA,KOBIETA,184
KASJANA,KOBIETA,184
MERVE,KOBIETA,184
KATERINA,KOBIETA,182
STELA,KOBIETA,182
VITTORIA,KOBIETA,181
DANIELLE,KOBIETA,180
DĄBRÓWKA,KOBIETA,180
DENISE,KOBIETA,180
ILIANA,KOBIETA,180
INHA,KOBIETA,180
STANISLAVA,KOBIETA,180
THỊ,KOBIETA,179
VIVIAN,KOBIETA,179
ZEFIRYNA,KOBIETA,178
TATJANA,KOBIETA,176
EUFROZYNA,KOBIETA,175
INEZA,KOBIETA,175
ROMINA,KOBIETA,175
ANNA-MARIA,KOBIETA,174
KARINE,KOBIETA,174
